Title,Location,Rent,Area,Furnishing,Bathrooms
3 BHK House for Rent in Block 1st Koramangala Bangalore,,₹1 Lac,Carpet Area1800 sqft,3,3.0
"2 BHK Flat for Rent in Jain Heights, Sarjapur Road, Bangalore",,"₹50,000",Super Area1200 sqft,2,2.0
3 BHK Villa for Rent in Sarjapura Bangalore,,"₹35,000",Super Area1550 sqft,3,3.0
"3 BHK Flat for Rent in Godrej Air, Industrial Area Hoodi, Bangalore",,"₹70,001",Carpet Area1088 sqft,2,2.0
"3 BHK Flat for Rent in Shriram Chirping Woods, Sarjapur Road, Bangalore",,"₹72,000",Carpet Area1700 sqft,3,3.0
"3 BHK Flat for Rent in Bhartiya Nikoo Homes, Thanisandra, Bangalore",,"₹45,000",Carpet Area1099 sqft,3,3.0
"2 BHK Flat for Rent in Prestige Jindal City, Tumkur Road, Bangalore",,"₹36,000",Super Area970 sqft,2,2.0
"4 BHK Flat for Rent in Prestige Jade Pavilion, Marathahalli Sarjapur Outer Ring Road, Bangalore",,₹1.3 Lac,Super Area2524 sqft,4,4.0
"3 BHK Flat for Rent in Divyasree Republic Of Whitefield, Kundalahalli, Brookefield, Bangalore",,"₹70,000",Carpet Area1350 sqft,3,3.0
"3 BHK Flat for Rent in Sector 2 HSR Layout, Bangalore",,"₹70,000",Carpet Area1300 sqft,3,3.0
3 BHK House for Rent in Sector 1st HSR Layout Bangalore,,"₹60,000",Carpet Area2500 sqft,4,4.0
"3 BHK Flat for Rent in Maithri Shilpitha Splendour Annex, Marathahalli, Bangalore",,"₹58,000",Carpet Area1300 sqft,3,3.0
2 BHK Flat for Rent in Bangalore,,"₹19,000",Carpet Area860 sqft,1,1.0
"3 BHK Flat for Rent in Puravankara Purva Seasons, CV Raman Nagar, Bangalore",,"₹85,000",Carpet Area1980 sqft,4,4.0
"2 BHK Flat for Rent in Vandana Alpyne, Hsr Layout, Bangalore",,"₹40,000",Carpet Area1050 sqft,2,2.0
"1 BHK Flat for Rent in Phase 5 JP Nagar, Bangalore",,"₹16,000",Carpet Area400 sqft,1,1.0
"2 BHK Flat for Rent in Basavanagudi, Bangalore",,"₹25,000",Carpet Area800 sqft,2,2.0
"1 BHK Flat for Rent in Sowparnika Ashiyana, Whitefield, Bangalore",,"₹15,000",Super Area372 sqft,1,1.0
4 BHK Villa for Rent in Jigani Bangalore,,"₹25,000",Carpet Area1960 sqft,4,4.0
"3 BHK Flat for Rent in Salarpuria Silverwood Apartments, Old Madras Road, Bangalore",,"₹92,000",Super Area1812 sqft,3,3.0
"4 BHK Flat for Rent in Embassy Lake Terraces, Hebbal, Bangalore",,₹3 Lac,Carpet Area3200 sqft,4,4.0
"2 BHK Flat for Rent in Sowparnika Ashiyana, Channasandra, Bangalore",,"₹26,000",Carpet Area400 sqft,2,2.0
"3 BHK Flat for Rent in Avalon Park At The Prestige City, Sarjapura, Bangalore",,"₹60,000",Super Area1620 sqft,3,3.0
"2 BHK Flat for Rent in Casagrand Boulevard, Hennur Main Road, Bangalore",,"₹40,000",Carpet Area900 sqft,2,2.0
"3 BHK Flat for Rent in Sobha Hibiscus, Outer Ring Road, Bangalore",,"₹60,000",Super Area1770 sqft,1,1.0
"3 BHK Flat for Rent in Confident Leo, Sarjapur Road, Bangalore",,"₹65,000",Carpet Area1500 sqft,3,3.0
"3 BHK Flat for Rent in Salarpuria Sattva Senorita, Doddakannelli, Bangalore",,"₹85,000",Carpet Area1729 sqft,3,3.0
"3 BHK Flat for Rent in G Corp Residences, Koramangala, Bangalore",,₹1.5 Lac,Carpet Area1400 sqft,3,3.0
"3 BHK Flat for Rent in Bren Avalon, Marathahalli, Bangalore",,"₹64,000",Super Area1419 sqft,3,3.0
3 BHK House for Rent in 4th T Block East Jayanagar Bangalore,,₹1.3 Lac,Carpet Area2400 sqft,4,4.0
"3 BHK Flat for Rent in Puravankara Purva Westend, Hosur Road, Bangalore",,"₹62,000",Super Area1689 sqft,3,3.0
"2 BHK Flat for Rent in DNR Casablanca, Mahadevapura, Bangalore",,"₹65,000",Super Area1288 sqft,2,2.0
"2 BHK Flat for Rent in Mahatma Gandhi Road, Bangalore",,"₹62,000",Carpet Area1255 sqft,2,2.0
"1 BHK Flat for Rent in Sobha Lake Garden, Bharathi Nagar, Krishnarajapura, Bangalore",,"₹37,000",Carpet Area765 sqft,1,1.0
"3 BHK Flat for Rent in Koramangala, Bangalore",,"₹90,000",Carpet Area1800 sqft,3,3.0
"3 BHK Flat for Rent in Adarsh Rhythm, Panduranga Nagar, bannerghatta main Road, Bangalore",,"₹55,000",Carpet Area1680 sqft,3,3.0
"2 BHK Flat for Rent in Prestige Finsbury Park, Yelahanka Airforce Base, Bangalore",,"₹22,000",Carpet Area680 sqft,2,2.0
"4 BHK Villa for Rent in Epip Zone, Whitefield Bangalore",,₹3 Lac,Super Area4089 sqft,5,5.0
"2 BHK Flat for Rent in Bellandur, Outer Ring Road, Bangalore",,"₹40,000",Carpet Area1100 sqft,2,2.0
2 BHK House for Rent in Koramangala Bangalore,,"₹31,000",Carpet Area900 sqft,2,2.0
"3 BHK Flat for Rent in Sterling Ascentia, Marathahalli Sarjapur Outer Ring Road, Bangalore",,"₹70,000",Super Area2004 sqft,3,3.0
