Title,Location,Rent,Area,Furnishing,Bathrooms
4 BHK House for Rent in Block 3rd HBR Layout Bangalore,,"₹35,000",Carpet Area1800 sqft,3,1.0
Shop for Rent in Gottigere Bangalore,,"₹65,000",Carpet Area1200 sqft,Immediately,
Land for Rent in Sarjapura Bangalore,,₹2.5 Lac,Built Area25000 sqft,Immediately,
"3 BHK Flat for Rent in Prestige Song of the South, Begur Road, Bangalore",,"₹48,000",Carpet Area1392 sqft,3,18.0
Land for Rent in Chandapura Anekal Road Bangalore,,₹75 Lac,Built Area323840 sqft,Immediately,
Land for Rent in Hesarghatta Road Bangalore,,₹1 Lac,,Immediately,
Office Space for Rent in Chikkabettahalli Bangalore,,₹1 Lac,Carpet Area1000 sqft,Bachelors/Family,3.0
1 BHK House for Rent in Hennur Gardens Bangalore,,"₹7,500",Super Area600 sqft,1,1.0
"3 BHK Flat for Rent in Brigade Golden Triangle, Old Madras Road, Bangalore",,"₹40,000",Super Area1490 sqft,2,14.0
Showroom for Rent in BDA Layout BTM Layout Bangalore,,₹1.8 Lac,Carpet Area2250 sqft,Bachelors/Family,2.0
Showroom for Rent in Rajanukunte Bangalore,,"₹90,000",Super Area2000 sqft,Immediately,
Agricultural Land for Rent in Maralakunte Bangalore Rural Bangalore,,"₹50,000",Plot Area32670 sqft,Immediately,
Warehouse/ Godown for Rent in Maithri Layout Bangalore,,₹2.8 Lac,Super Area5642 sqft,Immediately,
Warehouse/ Godown for Rent in Bileshivale Bangalore,,"₹60,000",Super Area2400 sqft,Immediately,
Office Space for Rent in BEL Layout Bedarahalli Bangalore,,₹2.3 Lac,Carpet Area1100 sqft,Bachelors/Family,2.0
Industrial Land for Rent in Sonnenahalli Krishnarajapura Bangalore,,₹1.8 Lac,,Immediately,
Showroom for Rent in J P Nagar Bangalore,,₹3.7 Lac,Super Area3632 sqft,Bachelors/Family,1.0
4 BHK House for Rent in Basavanagudi Bangalore,,₹2.3 Lac,Super Area4500 sqft,5,5.0
"2 BHK Flat for Rent in Godrej United, Whitefield, Bangalore",,"₹75,000",Super Area1799 sqft,2,2.0
"3 BHK Flat for Rent in Punappa Layout, Bangalore",,"₹38,000",Carpet Area1600 sqft,3,3.0
"3 BHK Flat for Rent in The Residences at Brigade Tech Gardens, Brookefield, Bangalore",,₹1 Lac,Super Area2232 sqft,3,3.0
"3 BHK Flat for Rent in Vars Golden Gables, Koramangala, Bangalore",,"₹65,000",Carpet Area1650 sqft,2,2.0
"3 BHK Flat for Rent in Sobha Silicon Oasis, Hosa Road Area, Bangalore",,"₹52,000",Carpet Area1100 sqft,3,3.0
4 BHK Villa for Rent in Devanahalli Bangalore,,₹1.5 Lac,Carpet Area3900 sqft,4,4.0
"3 BHK Flat for Rent in Mantri Serenity, Kanakapura Road, Bangalore",,"₹55,000",Super Area2080 sqft,3,3.0
"2 BHK Flat for Rent in Sapthagiri Pride, Jogupalya, Bangalore",,"₹45,000",Carpet Area1200 sqft,2,2.0
"1 BHK Flat for Rent in Manyata Tech Park Road, Bangalore",,"₹25,000",Carpet Area650 sqft,1,1.0
Office Space for Rent in Hebbal Bangalore,,₹13.6 Lac,"Super Area16,000 sqft",Bachelors/Family,12.0
"2 BHK Flat for Rent in Prestige St Johns Wood, Koramangala, Bangalore",,"₹75,000",Super Area1320 sqft,2,2.0
"3 BHK Flat for Rent in G Corp The Icon, Thanisandra, Bangalore",,"₹63,500",Carpet Area1391 sqft,3,3.0
"3 BHK Flat for Rent in Prestige St Johns Wood, Koramangala, Bangalore",,₹1.2 Lac,Carpet Area2246 sqft,3,9.0
Office Space for Rent in Block 11th Stage 6th Banakshankari Bangalore,,"₹20,000",Super Area1200 sqft,Bachelors/Family,2.0
"4 BHK Flat for Rent in Keya Around The Life, Bangalore",,"₹85,000",Carpet Area1621 sqft,4,4.0
2 BHK Flat for Rent in Bangalore,,"₹25,000",Carpet Area1200 sqft,2,2.0
"1 BHK Flat for Rent in Kammanahalli, Bangalore",,"₹15,000",Carpet Area450 sqft,1,1.0
2 BHK House for Rent in Padmeshwari Nagar Bangalore,,"₹16,000",Super Area800 sqft,2,3.0
"3 BHK Flat for Rent in Sumo Sonnet, Kudlu Gate, Bangalore",,"₹52,000",Carpet Area1200 sqft,2,2.0
2 BHK House for Rent in V Enclave Layout Hemmigepura Bangalore,,"₹9,000",Carpet Area700 sqft,2,2.0
"2 BHK Flat for Rent in Sai Poorna Luxuria, Haralur Main Road, Bangalore",,"₹45,000",Super Area1256 sqft,2,9.0
"2 BHK House for Rent in Nagavara Village, Nagavara Bangalore",,"₹12,000",Carpet Area600 sqft,1,1.0
"2 BHK Flat for Rent in Kodigehalli Thindlu Main Road, Bangalore",,"₹18,500",Carpet Area1000 sqft,2,2.0
1 BHK House for Rent in Varanasi Bangalore,,"₹16,000",Carpet Area600 sqft,1,1.0
"2 BHK Flat for Rent in Shriram Wyt Field, Budigere Cross, Bangalore",,"₹28,000",Carpet Area507 sqft,2,2.0
"2 BHK Flat for Rent in Kanaka Layout, Bangalore",,"₹20,000",Carpet Area1080 sqft,2,5.0
"3 BHK Flat for Rent in Anjanapura, Bangalore",,"₹28,000",Carpet Area1400 sqft,2,2.0
3 BHK House for Rent in Harlur Bangalore,,"₹48,000",Carpet Area1200 sqft,2,2.0
1 BHK House for Rent in Varthur Lake Road Bangalore,,"₹15,000",Super Area600 sqft,1,1.0
2 BHK House for Rent in Jayanti Nagar Main Road Bangalore,,"₹21,000",Carpet Area1200 sqft,2,2.0
3 BHK House for Rent in Phase 3rd JP Nagar Bangalore,,"₹90,000",Carpet Area3000 sqft,3,3.0
"2 BHK Flat for Rent in Greenwood Regency, Kaikondrahalli, Bangalore",,"₹43,000",Carpet Area1000 sqft,2,2.0
"2 BHK Flat for Rent in Varthur, Bangalore",,"₹45,000",Super Area1195 sqft,2,2.0
"3 BHK Flat for Rent in Sobha Magnolia, Old Gurappanapalya, BTM layout, Bannerghatta main Road, Bangalore",,"₹60,000",Carpet Area1713 sqft,3,3.0
"4 BHK Flat for Rent in Foot Prints Apartment, Indiranagar, Bangalore",,₹3 Lac,Carpet Area2750 sqft,4,4.0
"2 BHK Flat for Rent in Doddanekundi, Kartik Nagar, Bangalore",,"₹31,000",Carpet Area1210 sqft,2,2.0
"2 BHK Flat for Rent in House of Hiranandani Devanahalli, Chikkasanne, Bangalore",,"₹28,000",Carpet Area890 sqft,2,2.0
3 BHK Villa for Rent in Whitefield Bangalore,,"₹65,000",Carpet Area3000 sqft,3,3.0
"2 BHK Flat for Rent in Maithri Layout, Bangalore",,"₹32,800",Carpet Area1100 sqft,2,2.0
"2 BHK Flat for Rent in Balaji Elegance, Whitefield, Bangalore",,"₹40,000",Super Area1115 sqft,2,2.0
"2 BHK Flat for Rent in Confident Sagitta, Sarjapura, Bangalore",,"₹20,000",Carpet Area950 sqft,2,2.0
2 BHK House for Rent in Ramamurthy Nagar Bangalore,,"₹10,000",Carpet Area550 sqft,2,2.0
3 BHK Flat for Rent in Bangalore,,"₹30,000",Super Area1200 sqft,2,2.0
3 BHK Villa for Rent in Bagaluru Bangalore,,"₹30,000",Super Area1500 sqft,3,3.0
"2 BHK Flat for Rent in NCC Nagarjuna Gardens, Sahakar Nagar, Bangalore",,"₹32,000",Carpet Area1200 sqft,2,2.0
1 BHK House for Rent in Thathaguni Bangalore,,"₹10,000",Super Area500 sqft,1,1.0
Office Space for Rent in NGEF Layout Bennigana Halli Bangalore,,"₹50,000",Carpet Area1100 sqft,Bachelors/Family,2.0
"2 BHK Flat for Rent in Vijaya Aquagreen, Chikkabanavara, Bangalore",,"₹19,500",Carpet Area880 sqft,2,2.0
2 BHK Flat for Rent in Bangalore,,₹13 Lac,Super Area900 sqft,2,3.0
Showroom for Rent in Kudlu Gate Bangalore,,"₹45,000",Carpet Area850 sqft,Immediately,
Office Space for Rent in Sector 6 HSR Layout Bangalore,,₹2 Lac,Carpet Area2500 sqft,Bachelors/Family,2.0
"Studio Apartment for Rent in Phase 8th JP Nagar, Bangalore",,"₹6,000",Carpet Area400 sqft,1,3.0
3 BHK Flat for Rent in Bangalore,,"₹65,000",Super Area1700 sqft,3,3.0
2 BHK Villa for Rent in Bommasandra Bangalore,,"₹18,000",Carpet Area1100 sqft,2,2.0
"1 BHK Flat for Rent in Raja Rajeshwari Nivas, Bommanahalli, Bangalore",,"₹18,500",Super Area700 sqft,1,3.0
Office Space for Rent in Stage 1 Kengeri Satellite Town Bangalore,,"₹85,000",Carpet Area2400 sqft,Bachelors/Family,4.0
4 BHK House for Rent in Rajanukunte Bangalore,,"₹25,000",Super Area1200 sqft,2,2.0
"2 BHK Flat for Rent in Srinidhi Regency, Sarjapura, Bangalore",,"₹35,000",Carpet Area1125 sqft,2,4.0
"Studio Apartment for Rent in NS Palya, Bangalore",,"₹8,500",Carpet Area280 sqft,1,4.0
"1 BHK Flat for Rent in Svamitva Emerald Square, Bommasandra Jigani Link Road, Bangalore",,"₹24,000",Super Area610 sqft,1,1.0
"2 BHK Flat for Rent in Swagath Heritage, Vijayanagar, Bangalore",,"₹28,000",Super Area1100 sqft,2,2.0
"1 BHK Flat for Rent in Ranka Colony, Ranka Colony, Bilekahalli, Bannerghatta main Road, Bangalore",,"₹23,000",,1,1.0
"3 BHK Flat for Rent in Ananth Nagar, Bangalore",,"₹30,000",Carpet Area1100 sqft,2,2.0
"2 BHK Flat for Rent in Indya The Greens, Anekal, Bangalore",,"₹10,000",Super Area800 sqft,1,12.0
Shop for Rent in Bengaluru Kanakapura Road Bangalore,,"₹25,000",Carpet Area1000 sqft,Bachelors/Family,
2 BHK House for Rent in Basapura Bangalore,,"₹18,000",Carpet Area900 sqft,1,1.0
"2 BHK Flat for Rent in Sowparnika Swastika 1, Sarjapura Attibele Road, Bangalore",,"₹26,000",Carpet Area1117 sqft,2,2.0
3 BHK House for Rent in Nandana nagar Bangalore,,"₹20,000",Super Area1350 sqft,3,2.0
1 BHK House for Rent in Jakkur Bangalore,,"₹11,000",Super Area600 sqft,1,1.0
"3 BHK Flat for Rent in Hosa Road Area, Bangalore",,"₹35,000",Carpet Area1000 sqft,2,5.0
2 BHK Villa for Rent in Kogilu Bangalore,,"₹20,000",Super Area800 sqft,2,2.0
"3 BHK Flat for Rent in Alpine Viva, Whitefield, Bangalore",,"₹55,000",Super Area2220 sqft,4,15.0
4 BHK House for Rent in Vignan Nagar Bangalore,,"₹40,000",Carpet Area1100 sqft,3,3.0
"2 BHK Flat for Rent in Ahad Serenity, Hosa Road, off Hosur Road, Bangalore",,"₹43,000",Carpet Area877 sqft,2,2.0
3 BHK House for Rent in Block 5th HBR Layout Bangalore,,"₹39,000",Carpet Area1200 sqft,3,3.0
"2 BHK Flat for Rent in Mittaganahalli, Bangalore",,"₹19,000",Carpet Area700 sqft,2,2.0
2 BHK Flat for Rent in Bangalore,,"₹18,000",Super Area1200 sqft,2,2.0
2 BHK House for Rent in Gottigere Bangalore,,"₹24,000",Carpet Area1100 sqft,2,2.0
"2 BHK Flat for Rent in United Elysium 2, Channasandra, Bangalore",,"₹38,000",Super Area1094 sqft,2,4.0
1 BHK House for Rent in Halasahalli Thippasandra Bangalore,,"₹12,500",Carpet Area450 sqft,1,1.0
"3 BHK Flat for Rent in Provident Capella, Soukya Road, Bangalore",,"₹35,000",Carpet Area900 sqft,3,3.0
"3 BHK Flat for Rent in Raja Sannidhi, Begur Koppa Road, Bangalore",,"₹22,000",Super Area1286 sqft,2,5.0
2 BHK House for Rent in Muniswamppa layout Vignan Nagar Bangalore,,"₹30,000",Super Area1400 sqft,2,2.0
Showroom for Rent in Sarjapur Road Bangalore,,₹1 Lac,Carpet Area3000 sqft,Bachelors/Family,3.0
"3 BHK Flat for Rent in Diamond District, HAL Old Airport Road, Bangalore",,₹1 Lac,Super Area1800 sqft,3,3.0
"3 BHK Flat for Rent in G Corp Residences, 1A Block Koramangala, Bangalore",,₹1.5 Lac,Carpet Area2900 sqft,3,3.0
Shop for Rent in Nagawara Bangalore,,"₹32,000",Carpet Area200 sqft,Immediately,
Warehouse/ Godown for Rent in Dobbaspet Bangalore,,₹3.5 Lac,,Immediately,
"2 BHK Flat for Rent in Sowparnika Skanda, Hoodi, Hoodi, Bangalore",,"₹22,000",Carpet Area1200 sqft,2,2.0
2 BHK House for Rent in Whitefield Bangalore,,"₹27,000",Carpet Area1000 sqft,2,2.0
"3 BHK Flat for Rent in Halasuru, Bangalore",,₹2 Lac,Carpet Area2500 sqft,3,3.0
4 BHK Flat for Rent in Bangalore,,"₹70,000",Carpet Area2200 sqft,3,3.0
Land for Rent in Nelamangala Town Bangalore,,₹4 Lac,Built Area20000 sqft,Immediately,
Office Space for Rent in Shanthala Nagar Ashok Nagar Bangalore,,₹3.8 Lac,Carpet Area2500 sqft,Bachelors/Family,13.0
"3 BHK Flat for Rent in Sobha Indraprastha, Rajajinagar, Bangalore",,₹1.5 Lac,Super Area2060 sqft,3,3.0
"3 BHK Flat for Rent in Prestige Abshot, Vasanth Nagar, Bangalore",,₹2 Lac,Carpet Area3300 sqft,4,4.0
"2 BHK Flat for Rent in Provident Park Square, Kanakapura Road, Bangalore",,"₹30,000",Super Area900 sqft,2,2.0
"3 BHK Flat for Rent in Infantry Road, Bangalore",,"₹64,000",Carpet Area1650 sqft,3,3.0
"3 BHK Flat for Rent in T Zed, Whitefield, Bangalore",,"₹70,000",Carpet Area2000 sqft,3,3.0
"3 BHK Flat for Rent in Adarsh Lakefront, Kaikondrahalli, Bangalore",,"₹99,000",Carpet Area1540 sqft,3,3.0
"3 BHK Flat for Rent in Pride Pegasus, Hennur Gardens, Bangalore",,"₹50,000",Carpet Area1515 sqft,3,3.0
"3 BHK Flat for Rent in Hbr Layout, Bangalore",,"₹45,000",Carpet Area1600 sqft,3,3.0
"2 BHK Flat for Rent in Phase 8th JP Nagar, Bangalore",,"₹23,000",Carpet Area1150 sqft,2,2.0
"2 BHK Flat for Rent in B Narayanapura, Mahadevapura, Bangalore",,"₹31,900",Carpet Area1250 sqft,2,2.0
Office Space for Rent in Stage 3rd RR Nagar Bangalore,,"₹95,000",Carpet Area1400 sqft,Bachelors/Family,2.0
Office Space for Rent in Magadi Main Road Bangalore,,₹1.1 Lac,Super Area2500 sqft,Bachelors/Family,3.0
"1 BHK Flat for Rent in Sector 2 HSR Layout, Bangalore",,"₹35,000",Carpet Area650 sqft,1,1.0
"1 BHK Flat for Rent in Kodihalli, Bangalore",,"₹15,000",Carpet Area350 sqft,1,1.0
"3 BHK Flat for Rent in Sobha Daffodil, Hsr Layout, Bangalore",,"₹85,000",Carpet Area1450 sqft,3,3.0
4 BHK Villa for Rent in Chambenahalli Bangalore,,₹1.3 Lac,Carpet Area2400 sqft,5,5.0
"3 BHK Flat for Rent in Horamavu Agara, Hormavu, Bangalore",,"₹28,000",Super Area1000 sqft,3,3.0
Land for Rent in New Airport Road Bangalore,,₹12 Lac,Built Area20250 sqft,Immediately,
"2 BHK Flat for Rent in Gopalan Jewels, Konanakunte, Bangalore",,"₹35,000",Carpet Area1200 sqft,2,2.0
"Office Space for Rent in Doopanahalli, Indira nagar Bangalore",,₹4.8 Lac,Carpet Area2400 sqft,Bachelors/Family,5.0
4 BHK Villa for Rent in Akshayanagar Bangalore,,₹1.6 Lac,Carpet Area4100 sqft,4,4.0
2 BHK House for Rent in Kempegowda International Airport Road Bangalore,,"₹29,000",Carpet Area1100 sqft,2,2.0
"3 BHK Flat for Rent in Ajmera Green Acres, Bannerghatta Main Road, Bangalore",,"₹38,000",Super Area1629 sqft,3,3.0
2 BHK House for Rent in Sannatammanahalli Battarahalli Bangalore,,"₹30,000",Carpet Area780 sqft,2,2.0
"Office Space for Rent in Hoodi, Hoodi Bangalore",,"₹60,000",Carpet Area1100 sqft,Bachelors/Family,3.0
4 BHK Villa for Rent in Budigere Cross Bangalore,,₹3 Lac,Carpet Area3076 sqft,4,4.0
"3 BHK Flat for Rent in Godrej Eternity, Kanakapura Road, Bangalore",,"₹42,000",Super Area1497 sqft,2,2.0
"3 BHK Flat for Rent in House Of Hiranandani Bannerghatta, Bannerughatta, Bangalore",,"₹65,000",Carpet Area1050 sqft,2,2.0
Office Space for Rent in Mahatma Gandhi Road Bangalore,,₹4.1 Lac,Carpet Area4050 sqft,Bachelors/Family,6.0
4 BHK Villa for Rent in Sarjapur Road Bangalore,,₹2 Lac,Carpet Area4500 sqft,4,4.0
Office Space for Rent in Sector 5th HSR Layout Bangalore,,₹9.2 Lac,Carpet Area11500 sqft,Bachelors/Family,5.0
"3 BHK Flat for Rent in Keerthi Regalia, Ambalipura, Bangalore",,"₹58,000",Carpet Area1650 sqft,3,3.0
"3 BHK Flat for Rent in Provident Sunworth City, Mysore Road, Bangalore",,"₹25,000",Carpet Area950 sqft,3,3.0
"3 BHK Flat for Rent in AECS Layout Sanjayanagara, Bangalore",,"₹36,000",Carpet Area1153 sqft,3,3.0
Office Space for Rent in Yelahanka New Town Bangalore,,"₹65,000",Carpet Area2000 sqft,Bachelors/Family,2.0
"2 BHK Flat for Rent in Oceanus Tranquil, Old Madras Road, Bangalore",,"₹35,000",Carpet Area800 sqft,2,2.0
Industrial Building for Rent in Nayanda Halli Bangalore,,₹1.6 Lac,Super Area4500 sqft,Immediately,
"1 BHK Flat for Rent in Budigere, Bangalore",,"₹25,000",Super Area875 sqft,2,11.0
"2 BHK Flat for Rent in Electronic City, Bangalore",,"₹25,000",Super Area1000 sqft,2,2.0
3 BHK Villa for Rent in Whitefield Bangalore,,"₹49,000",Super Area2800 sqft,3,3.0
2 BHK House for Rent in RK Hegde Nagar Bangalore,,"₹23,000",Super Area1100 sqft,2,2.0
Land for Rent in Chikkabanavara Bangalore,,₹3 Lac,,Immediately,
"3 BHK Flat for Rent in Konanakunte, Bangalore",,"₹85,000",Super Area2000 sqft,4,3.0
"4 BHK Flat for Rent in Kempegowda Nagar, Kempegowda Nagar, Bangalore",,₹2 Lac,Super Area3850 sqft,6,22.0
"2 BHK Flat for Rent in Whitefield, Bangalore",,"₹65,000",Super Area1350 sqft,2,10.0
Shop for Rent in Stage 3rd Banashankari Bangalore,,"₹70,000",Super Area1500 sqft,Immediately,
2 BHK House for Rent in Battarahalli Bangalore,,"₹12,000",Super Area500 sqft,1,3.0
"3 BHK Flat for Rent in J P Nagar, Bangalore",,₹1 Lac,Super Area1950 sqft,3,4.0
2 BHK House for Rent in KPC Layout Kasavanahalli Bangalore,,"₹15,000",Super Area1200 sqft,2,2.0
"1 BHK Flat for Rent in Kurubarahalli Basaveshwar Nagar, Bangalore",,"₹12,500",Super Area454 sqft,1,4.0
Shop for Rent in Nagasandra Bangalore,,"₹5,000",Super Area100 sqft,Immediately,
Land for Rent in Devanahalli Bangalore,,₹10 Lac,Built Area58806 sqft,Immediately,
Office Space for Rent in Btm Layout Bangalore,,₹5 Lac,"Super Area10,000 sqft",Bachelors/Family,4.0
1 BHK House for Rent in Ramamurthy Nagar Bangalore,,"₹8,500",Super Area900 sqft,1,1.0
Office Space for Rent in Yelahanka Bangalore,,"₹81,000",Super Area1800 sqft,Bachelors/Family,3.0
"2 BHK Flat for Rent in Hesarghatta Road, Bangalore",,"₹12,000",Super Area800 sqft,2,3.0
"2 BHK Flat for Rent in CV Raman Nagar, Bangalore",,"₹40,000",Super Area1157 sqft,2,5.0
Office Space for Rent in Sahakar Nagar Bangalore,,₹5.5 Lac,"Super Area10,000 sqft",Bachelors/Family,4.0
Office Space for Rent in Hsr Layout Bangalore,,"₹70,000",Super Area2000 sqft,Immediately,
3 BHK Flat for Rent in Bangalore,,"₹80,000",Super Area1988 sqft,Bachelors/Family,14.0
Office Space for Rent in Block 4th Jayanagar Bangalore,,"₹80,000",Super Area2000 sqft,Bachelors/Family,5.0
"3 BHK Flat for Rent in Bellandur, Outer Ring Road, Bangalore",,"₹70,000",Super Area1850 sqft,3,4.0
"3 BHK Flat for Rent in Varthur Road, Bangalore",,"₹60,000",Super Area1645 sqft,Bachelors/Family,26.0
3 BHK Flat for Rent in Bangalore,,"₹60,000",Super Area1990 sqft,Bachelors/Family,12.0
Land for Rent in Hoskote Bangalore,,₹1.2 Lac,Built Area6534 sqft,Immediately,
Office Space for Rent in Kudlu Gate Bangalore,,"₹80,000",Super Area1200 sqft,Bachelors/Family,4.0
3 BHK Flat for Rent in Bangalore,,"₹60,000",Super Area1800 sqft,3,5.0
"3 BHK Flat for Rent in Doddanekundi, Kartik Nagar, Bangalore",,"₹80,000",Super Area1500 sqft,3,11.0
Office Space for Rent in Rajajinagar Bangalore,,₹1.8 Lac,Super Area3000 sqft,Bachelors/Family,4.0
5 BHK Villa for Rent in Kannamangala Bangalore,,"₹80,000",Super Area5000 sqft,5,5.0
Office Space for Rent in Block 4 Koramangala Bangalore,,"₹90,000",Super Area2000 sqft,Bachelors/Family,5.0
"3 BHK Flat for Rent in Kasavanahalli, Bangalore",,"₹85,000",Super Area3200 sqft,4,5.0
Showroom for Rent in Stage 3rd Banashankari Bangalore,,₹4.5 Lac,Super Area4730 sqft,Bachelors/Family,3.0
4 BHK House for Rent in Hsr Layout Bangalore,,₹3 Lac,Super Area7800 sqft,5,3.0
3 BHK House for Rent in Varthur Road Bangalore,,"₹40,000",Super Area1500 sqft,3,4.0
"2 BHK Flat for Rent in Bannerghatta Main Road, Bangalore",,"₹60,000",Super Area1100 sqft,2,2.0
Showroom for Rent in Kempegowda Bangalore,,₹1 Lac,Super Area600 sqft,Bachelors/Family,4.0
"Showroom for Rent in Kottigepalya, Nagarbhavi Bangalore",,₹2.6 Lac,Super Area8500 sqft,Bachelors/Family,4.0
Land for Rent in Sarjapur Road Bangalore,,₹6 Lac,Built Area40000 sqft,Immediately,
"4 BHK Flat for Rent in Kumara Park East, Shashadripuram, Bangalore",,₹1.5 Lac,Super Area3000 sqft,4,5.0
"1 BHK Flat for Rent in Phase 8th JP Nagar, Bangalore",,"₹9,000",Super Area400 sqft,1,4.0
Office Space for Rent in Jayanagar Bangalore,,₹3.7 Lac,Super Area3200 sqft,Bachelors/Family,4.0
Office Space for Rent in Malleshwaram Bangalore,,₹1.2 Lac,Super Area1300 sqft,Bachelors/Family,4.0
2 BHK House for Rent in Electronic City Bangalore,,"₹12,000",Super Area800 sqft,2,2.0
Office Space for Rent in Btm Layout Bangalore,,₹2 Lac,Super Area5000 sqft,Bachelors/Family,4.0
"1 BHK Flat for Rent in Sarjapur Road, Bangalore",,"₹40,000",Super Area746 sqft,1,18.0
Land for Rent in Talaghattapura Bangalore,,₹29.8 Lac,Built Area85000 sqft,Immediately,
"2 BHK Flat for Rent in Banaswadi, Bangalore",,"₹34,000",Super Area1100 sqft,2,2.0
Office Space for Rent in Sector 1st HSR Layout Bangalore,,"₹90,000",Super Area1400 sqft,Immediately,
Warehouse/ Godown for Rent in Shanti Nagar Bangalore,,"₹85,000",Super Area1600 sqft,Immediately,
1 BHK House for Rent in Hennur Gardens Bangalore,,"₹9,000",Super Area600 sqft,1,1.0
Land for Rent in Harohalli Bangalore,,₹1 Lac,Built Area3800 sqft,Immediately,
Office Space for Rent in Dickenson Road Bangalore,,"₹96,000",Super Area1200 sqft,Bachelors/Family,9.0
2 BHK House for Rent in Banaswadi Bangalore,,"₹23,000",Super Area1050 sqft,2,2.0
"2 BHK Flat for Rent in Singanayakanahalli, Bangalore",,"₹12,000",Super Area800 sqft,1,4.0
2 BHK House for Rent in Horamavu Bangalore,,"₹22,000",Super Area850 sqft,2,5.0
2 BHK House for Rent in Naagarabhaavi Bangalore,,"₹17,000",Super Area1000 sqft,2,2.0
4 BHK House for Rent in Geddalahalli Bangalore,,"₹60,000",Super Area2000 sqft,3,2.0
"2 BHK Flat for Rent in Kumaraswamy Layout, Kumaraswamy Layout, Bangalore",,"₹15,000",Super Area800 sqft,2,4.0
2 BHK House for Rent in Cox Town Bangalore,,"₹70,000",Super Area1030 sqft,3,3.0
"3 BHK Flat for Rent in Hebbal, Bangalore",,₹1.6 Lac,Super Area3125 sqft,4,18.0
1 BHK House for Rent in Kammanahalli Bangalore,,"₹14,000",Super Area350 sqft,1,1.0
"Office Space for Rent in Bcc Layout, Deepanjali Nagar Bangalore",,"₹82,000",Super Area2750 sqft,Immediately,
Office Space for Rent in Btm Layout Bangalore,,"₹70,000",Super Area1000 sqft,Bachelors/Family,2.0
Land for Rent in Laggere Bangalore,,"₹15,000",Built Area1200 sqft,Immediately,
Office Space for Rent in Katamnallur Bangalore,,₹1.5 Lac,Super Area2500 sqft,Bachelors/Family,1.0
"2 BHK Flat for Rent in Junnasandra, Bangalore",,"₹25,000",Super Area1000 sqft,2,2.0
"6 BHK House for Rent in Sharada Nagar, Bikasipura Bangalore",,₹1.5 Lac,Super Area5500 sqft,6,3.0
Land for Rent in Kothnur Narayanapura Bangalore,,₹2.3 Lac,Built Area15000 sqft,Immediately,
Office Space for Rent in Aavalahalli Bangalore,,"₹60,000",Super Area1000 sqft,Immediately,
2 BHK House for Rent in Krishnarajapura Bangalore,,"₹15,000",Super Area800 sqft,2,3.0
Office Space for Rent in Banashankari Bangalore,,₹1.5 Lac,Super Area300 sqft,Bachelors/Family,3.0
1 BHK House for Rent in Nagavara Bangalore,,"₹6,500",Super Area500 sqft,1,1.0
1 BHK House for Rent in Bommanahalli Bangalore,,"₹8,000",Super Area800 sqft,1,1.0
2 BHK House for Rent in Anchepalya Bangalore,,"₹8,000",Super Area600 sqft,1,1.0
1 BHK House for Rent in Jalahalli East Bangalore,,"₹9,000",Super Area600 sqft,1,1.0
"4 BHK Flat for Rent in Thanisandra Main Road, Bangalore",,₹1.4 Lac,Super Area2470 sqft,5,12.0
3 BHK Villa for Rent in Huskur Bangalore,,₹1 Lac,Super Area3700 sqft,5,5.0
4 BHK Flat for Rent in Bangalore,,₹1.3 Lac,Super Area1830 sqft,4,6.0
Office Space for Rent in Stage 3rd Banashankari Bangalore,,"₹90,000",Super Area1800 sqft,Bachelors/Family,4.0
Office Space for Rent in Hosur Road Bangalore,,₹1.5 Lac,Super Area5000 sqft,Bachelors/Family,5.0
Office Space for Rent in Kalyan Nagar Bangalore,,"₹60,000",Super Area2000 sqft,Bachelors/Family,5.0
"3 BHK Flat for Rent in Hosa Road, off Hosur Road, Bangalore",,"₹60,000",Super Area1775 sqft,3,13.0
"2 BHK Flat for Rent in KINGSTON LIFESTYLE, Kasavanahalli, Bangalore",,"₹33,000",Super Area1080 sqft,2,2.0
Land for Rent in Singahalli Bangalore,,₹4 Lac,,Immediately,
Office Space for Rent in Jakkur Bangalore,,₹1.5 Lac,Super Area3500 sqft,Bachelors/Family,4.0
Office Space for Rent in WHITEFIELS Bangalore,,₹1.5 Lac,Super Area6000 sqft,Bachelors/Family,3.0
4 BHK Villa for Rent in Attibele Bangalore,,"₹60,000",Super Area2200 sqft,4,4.0
Land for Rent in Whitefield Bangalore,,₹1.2 Lac,Built Area2400 sqft,Bachelors/Family,
Warehouse/ Godown for Rent in Stage 2nd Peenya Bangalore,,"₹30,000",Super Area1200 sqft,Immediately,
1 BHK House for Rent in Stage 1 BTM Layout Bangalore,,"₹12,000",Super Area500 sqft,1,3.0
"2 BHK Flat for Rent in Stage 1 BTM Layout, Bangalore",,"₹20,000",Super Area900 sqft,2,3.0
Office Space for Rent in Indiranagar Bangalore,,₹2 Lac,Super Area2500 sqft,Bachelors/Family,1.0
4 BHK Villa for Rent in Nimbekaipura Bangalore,,"₹32,500",Super Area3150 sqft,4,4.0
Office Space for Rent in Jalahalli West Bangalore,,"₹87,500",Super Area3500 sqft,Bachelors/Family,3.0
"3 BHK Flat for Rent in Visthar, Bangalore",,"₹60,000",Super Area1796 sqft,Bachelors/Family,13.0
3 BHK Flat for Rent in Bangalore,,"₹60,000",Super Area2400 sqft,Bachelors/Family,1.0
