Title,Location,Rent,Bathrooms,BHK,Area
"3 BHK Flat for Rent in DSR Eden Greens, Carmelaram, Bangalore","DSR Eden Greens, Carmelaram",55000,3.0,3.0,1325
"3 BHK Flat for Rent in Sattva Luxuria, Malleshwaram, Bangalore","Sattva Luxuria, Malleshwaram",130000,3.0,3.0,2400
"3 BHK Flat for Rent in Mittal Palms, Yelahanka, Bangalore","Mittal Palms, Yelahanka",37000,3.0,3.0,1550
"2 BHK Flat for Rent in Indiranagar, Bangalore",Indiranagar,95000,1.0,2.0,1230
"3 BHK Flat for Rent in Prestige Estates Shantiniketan, Whitefield, Bangalore","Prestige Estates Shantiniketan, Whitefield",80000,3.0,3.0,1930
"3 BHK Flat for Rent in Prestige Falcon City, Kanakapura Road, Bangalore","Prestige Falcon City, Kanakapura Road",58000,3.0,3.0,1591
3 BHK Villa for Rent in Horamavu Bangalore,Horamavu,70000,3.0,3.0,1800
4 BHK Villa for Rent in Varthur Bangalore,Varthur,200000,5.0,4.0,4003
"3 BHK Flat for Rent in Elita Promenade, Rbi Layout, J P Nagar, Bangalore","Elita Promenade, Rbi Layout, J P Nagar",60000,3.0,3.0,1680
3 BHK Villa for Rent in Kaggalipura Bangalore,Kaggalipura,59000,4.0,3.0,2500
"3 BHK Flat for Rent in Godrej Royale Woods, Devanahalli, Bangalore","Godrej Royale Woods, Devanahalli",30000,2.0,3.0,1157
"3 BHK Flat for Rent in Prestige Estates Shantiniketan, Whitefield, Bangalore","Prestige Estates Shantiniketan, Whitefield",90000,3.0,3.0,1500
"3 BHK Flat for Rent in Sumadhura Silver Ripples, Whitefield, Bangalore","Sumadhura Silver Ripples, Whitefield",65000,3.0,3.0,1650
"2 BHK Flat for Rent in Embassy Meadows, Koramangala, Bangalore","Embassy Meadows, Koramangala",60000,2.0,2.0,1200
"2 BHK Flat for Rent in Immadihalli Main Road, Bangalore",Immadihalli Main Road,22000,1.0,2.0,1200
1 BHK House for Rent in Chokkanahalli Bangalore,Chokkanahalli,27000,1.0,1.0,510
"4 BHK Flat for Rent in Sycon Heritage, Basavanagudi, Bangalore","Sycon Heritage, Basavanagudi",110000,4.0,4.0,2850
4 BHK Villa for Rent in Horamavu Bangalore,Horamavu,190000,4.0,4.0,4000
"2 BHK Flat for Rent in Ajmera Stone Park, Phase 1 Electronics City, Bangalore","Ajmera Stone Park, Phase 1 Electronics City",38000,2.0,2.0,1200
"3 BHK Flat for Rent in Karle Zenith, Hebbal, Bangalore","Karle Zenith, Hebbal",90000,4.0,3.0,2513
"3 BHK Flat for Rent in Godrej Ecity, Electronic City, Bangalore","Godrej Ecity, Electronic City",43000,3.0,3.0,1449
"3 BHK Flat for Rent in Brigade Cosmopolis, Whitefield, Bangalore","Brigade Cosmopolis, Whitefield",65000,3.0,3.0,1740
"4 BHK Flat for Rent in Akme Encore, Brookefield, Bangalore","Akme Encore, Brookefield",140000,4.0,4.0,2635
