Title,Location,Rent,Bathrooms,BHK,Area
"3 BHK Flat for Rent in Sobha Magnolia, Old Gurappanapalya, BTM layout, Bannerghatta main Road, Bangalore","Sobha Magnolia, Old Gurappanapalya, BTM layout, Bannerghatta main Road",60000,3.0,3.0,1713
"2 BHK Flat for Rent in Doddanekundi, Kartik Nagar, Bangalore","Doddanekundi, Kartik Nagar",31000,2.0,2.0,1210
"2 BHK Flat for Rent in House of Hiranandani Devanahalli, Chikkasanne, Bangalore","House of Hiranandani Devanahalli, Chikkasanne",28000,2.0,2.0,890
3 BHK Villa for Rent in Whitefield Bangalore,Whitefield,65000,3.0,3.0,3000
"2 BHK Flat for Rent in Maithri Layout, Bangalore",Maithri Layout,32800,2.0,2.0,1100
"2 BHK Flat for Rent in Balaji Elegance, Whitefield, Bangalore","Balaji Elegance, Whitefield",40000,2.0,2.0,1115
"2 BHK Flat for Rent in Confident Sagitta, Sarjapura, Bangalore","Confident Sagitta, Sarjapura",20000,2.0,2.0,950
2 BHK House for Rent in Ramamurthy Nagar Bangalore,Ramamurthy Nagar,10000,2.0,2.0,550
3 BHK Flat for Rent in Bangalore,,30000,2.0,3.0,1200
3 BHK Villa for Rent in Bagaluru Bangalore,Bagaluru,30000,3.0,3.0,1500
"2 BHK Flat for Rent in NCC Nagarjuna Gardens, Sahakar Nagar, Bangalore","NCC Nagarjuna Gardens, Sahakar Nagar",32000,2.0,2.0,1200
1 BHK House for Rent in Thathaguni Bangalore,Thathaguni,10000,1.0,1.0,500
"2 BHK Flat for Rent in Vijaya Aquagreen, Chikkabanavara, Bangalore","Vijaya Aquagreen, Chikkabanavara",19500,2.0,2.0,880
3 BHK Flat for Rent in Bangalore,,65000,3.0,3.0,1700
2 BHK Villa for Rent in Bommasandra Bangalore,Bommasandra,18000,2.0,2.0,1100
"1 BHK Flat for Rent in Raja Rajeshwari Nivas, Bommanahalli, Bangalore","Raja Rajeshwari Nivas, Bommanahalli",18500,3.0,1.0,700
4 BHK House for Rent in Rajanukunte Bangalore,Rajanukunte,25000,2.0,4.0,1200
"2 BHK Flat for Rent in Srinidhi Regency, Sarjapura, Bangalore","Srinidhi Regency, Sarjapura",35000,4.0,2.0,1125
"1 BHK Flat for Rent in Svamitva Emerald Square, Bommasandra Jigani Link Road, Bangalore","Svamitva Emerald Square, Bommasandra Jigani Link Road",24000,1.0,1.0,610
"2 BHK Flat for Rent in Swagath Heritage, Vijayanagar, Bangalore","Swagath Heritage, Vijayanagar",28000,2.0,2.0,1100
"3 BHK Flat for Rent in Ananth Nagar, Bangalore",Ananth Nagar,30000,2.0,3.0,1100
2 BHK House for Rent in Basapura Bangalore,Basapura,18000,1.0,2.0,900
"2 BHK Flat for Rent in Sowparnika Swastika 1, Sarjapura Attibele Road, Bangalore","Sowparnika Swastika 1, Sarjapura Attibele Road",26000,2.0,2.0,1117
3 BHK House for Rent in Nandana nagar Bangalore,Nandana nagar,20000,2.0,3.0,1350
1 BHK House for Rent in Jakkur Bangalore,Jakkur,11000,1.0,1.0,600
"3 BHK Flat for Rent in Hosa Road Area, Bangalore",Hosa Road Area,35000,5.0,3.0,1000
2 BHK Villa for Rent in Kogilu Bangalore,Kogilu,20000,2.0,2.0,800
4 BHK House for Rent in Vignan Nagar Bangalore,Vignan Nagar,40000,3.0,4.0,1100
"2 BHK Flat for Rent in Ahad Serenity, Hosa Road, off Hosur Road, Bangalore","Ahad Serenity, Hosa Road, off Hosur Road",43000,2.0,2.0,877
3 BHK House for Rent in Block 5th HBR Layout Bangalore,Block 5th HBR Layout,39000,3.0,3.0,1200
"2 BHK Flat for Rent in Mittaganahalli, Bangalore",Mittaganahalli,19000,2.0,2.0,700
2 BHK Flat for Rent in Bangalore,,18000,2.0,2.0,1200
2 BHK House for Rent in Gottigere Bangalore,Gottigere,24000,2.0,2.0,1100
"2 BHK Flat for Rent in United Elysium 2, Channasandra, Bangalore","United Elysium 2, Channasandra",38000,4.0,2.0,1094
1 BHK House for Rent in Halasahalli Thippasandra Bangalore,Halasahalli Thippasandra,12500,1.0,1.0,450
"3 BHK Flat for Rent in Provident Capella, Soukya Road, Bangalore","Provident Capella, Soukya Road",35000,3.0,3.0,900
"3 BHK Flat for Rent in Raja Sannidhi, Begur Koppa Road, Bangalore","Raja Sannidhi, Begur Koppa Road",22000,5.0,3.0,1286
2 BHK House for Rent in Muniswamppa layout Vignan Nagar Bangalore,Muniswamppa layout Vignan Nagar,30000,2.0,2.0,1400
"3 BHK Flat for Rent in Diamond District, HAL Old Airport Road, Bangalore","Diamond District, HAL Old Airport Road",100000,3.0,3.0,1800
"3 BHK Flat for Rent in G Corp Residences, 1A Block Koramangala, Bangalore","G Corp Residences, 1A Block Koramangala",150000,3.0,3.0,2900
"2 BHK Flat for Rent in Sowparnika Skanda, Hoodi, Hoodi, Bangalore","Sowparnika Skanda, Hoodi, Hoodi",22000,2.0,2.0,1200
2 BHK House for Rent in Whitefield Bangalore,Whitefield,27000,2.0,2.0,1000
"3 BHK Flat for Rent in Halasuru, Bangalore",Halasuru,200000,3.0,3.0,2500
4 BHK Flat for Rent in Bangalore,,70000,3.0,4.0,2200
"3 BHK Flat for Rent in Sobha Indraprastha, Rajajinagar, Bangalore","Sobha Indraprastha, Rajajinagar",150000,3.0,3.0,2060
"3 BHK Flat for Rent in Prestige Abshot, Vasanth Nagar, Bangalore","Prestige Abshot, Vasanth Nagar",200000,4.0,3.0,3300
"2 BHK Flat for Rent in Provident Park Square, Kanakapura Road, Bangalore","Provident Park Square, Kanakapura Road",30000,2.0,2.0,900
"3 BHK Flat for Rent in Infantry Road, Bangalore",Infantry Road,64000,3.0,3.0,1650
"3 BHK Flat for Rent in T Zed, Whitefield, Bangalore","T Zed, Whitefield",70000,3.0,3.0,2000
"3 BHK Flat for Rent in Adarsh Lakefront, Kaikondrahalli, Bangalore","Adarsh Lakefront, Kaikondrahalli",99000,3.0,3.0,1540
"3 BHK Flat for Rent in Pride Pegasus, Hennur Gardens, Bangalore","Pride Pegasus, Hennur Gardens",50000,3.0,3.0,1515
"3 BHK Flat for Rent in Hbr Layout, Bangalore",Hbr Layout,45000,3.0,3.0,1600
"2 BHK Flat for Rent in Phase 8th JP Nagar, Bangalore",Phase 8th JP Nagar,23000,2.0,2.0,1150
"2 BHK Flat for Rent in B Narayanapura, Mahadevapura, Bangalore","B Narayanapura, Mahadevapura",31900,2.0,2.0,1250
"1 BHK Flat for Rent in Sector 2 HSR Layout, Bangalore",Sector 2 HSR Layout,35000,1.0,1.0,650
"1 BHK Flat for Rent in Kodihalli, Bangalore",Kodihalli,15000,1.0,1.0,350
"3 BHK Flat for Rent in Sobha Daffodil, Hsr Layout, Bangalore","Sobha Daffodil, Hsr Layout",85000,3.0,3.0,1450
4 BHK Villa for Rent in Chambenahalli Bangalore,Chambenahalli,130000,5.0,4.0,2400
"3 BHK Flat for Rent in Horamavu Agara, Hormavu, Bangalore","Horamavu Agara, Hormavu",28000,3.0,3.0,1000
"2 BHK Flat for Rent in Gopalan Jewels, Konanakunte, Bangalore","Gopalan Jewels, Konanakunte",35000,2.0,2.0,1200
4 BHK Villa for Rent in Akshayanagar Bangalore,Akshayanagar,160000,4.0,4.0,4100
2 BHK House for Rent in Kempegowda International Airport Road Bangalore,Kempegowda International Airport Road,29000,2.0,2.0,1100
"3 BHK Flat for Rent in Ajmera Green Acres, Bannerghatta Main Road, Bangalore","Ajmera Green Acres, Bannerghatta Main Road",38000,3.0,3.0,1629
2 BHK House for Rent in Sannatammanahalli Battarahalli Bangalore,Sannatammanahalli Battarahalli,30000,2.0,2.0,780
"3 BHK Flat for Rent in Godrej Eternity, Kanakapura Road, Bangalore","Godrej Eternity, Kanakapura Road",42000,2.0,3.0,1497
"3 BHK Flat for Rent in House Of Hiranandani Bannerghatta, Bannerughatta, Bangalore","House Of Hiranandani Bannerghatta, Bannerughatta",65000,2.0,3.0,1050
4 BHK Villa for Rent in Sarjapur Road Bangalore,Sarjapur Road,200000,4.0,4.0,4500
"3 BHK Flat for Rent in Keerthi Regalia, Ambalipura, Bangalore","Keerthi Regalia, Ambalipura",58000,3.0,3.0,1650
"3 BHK Flat for Rent in Provident Sunworth City, Mysore Road, Bangalore","Provident Sunworth City, Mysore Road",25000,3.0,3.0,950
"3 BHK Flat for Rent in AECS Layout Sanjayanagara, Bangalore",AECS Layout Sanjayanagara,36000,3.0,3.0,1153
"2 BHK Flat for Rent in Oceanus Tranquil, Old Madras Road, Bangalore","Oceanus Tranquil, Old Madras Road",35000,2.0,2.0,800
"2 BHK Flat for Rent in Electronic City, Bangalore",Electronic City,25000,2.0,2.0,1000
3 BHK Villa for Rent in Whitefield Bangalore,Whitefield,49000,3.0,3.0,2800
2 BHK House for Rent in RK Hegde Nagar Bangalore,RK Hegde Nagar,23000,2.0,2.0,1100
"3 BHK Flat for Rent in Konanakunte, Bangalore",Konanakunte,85000,3.0,3.0,2000
2 BHK House for Rent in Battarahalli Bangalore,Battarahalli,12000,3.0,2.0,500
"3 BHK Flat for Rent in J P Nagar, Bangalore",J P Nagar,100000,4.0,3.0,1950
2 BHK House for Rent in KPC Layout Kasavanahalli Bangalore,KPC Layout Kasavanahalli,15000,2.0,2.0,1200
"1 BHK Flat for Rent in Kurubarahalli Basaveshwar Nagar, Bangalore",Kurubarahalli Basaveshwar Nagar,12500,4.0,1.0,454
1 BHK House for Rent in Ramamurthy Nagar Bangalore,Ramamurthy Nagar,8500,1.0,1.0,900
"2 BHK Flat for Rent in Hesarghatta Road, Bangalore",Hesarghatta Road,12000,3.0,2.0,800
"2 BHK Flat for Rent in CV Raman Nagar, Bangalore",CV Raman Nagar,40000,5.0,2.0,1157
"3 BHK Flat for Rent in Bellandur, Outer Ring Road, Bangalore","Bellandur, Outer Ring Road",70000,4.0,3.0,1850
3 BHK Flat for Rent in Bangalore,,60000,5.0,3.0,1800
5 BHK Villa for Rent in Kannamangala Bangalore,Kannamangala,80000,5.0,5.0,5000
"3 BHK Flat for Rent in Kasavanahalli, Bangalore",Kasavanahalli,85000,5.0,3.0,3200
3 BHK House for Rent in Varthur Road Bangalore,Varthur Road,40000,4.0,3.0,1500
"2 BHK Flat for Rent in Bannerghatta Main Road, Bangalore",Bannerghatta Main Road,60000,2.0,2.0,1100
"4 BHK Flat for Rent in Kumara Park East, Shashadripuram, Bangalore","Kumara Park East, Shashadripuram",150000,5.0,4.0,3000
"1 BHK Flat for Rent in Phase 8th JP Nagar, Bangalore",Phase 8th JP Nagar,9000,4.0,1.0,400
2 BHK House for Rent in Electronic City Bangalore,Electronic City,12000,2.0,2.0,800
"2 BHK Flat for Rent in Banaswadi, Bangalore",Banaswadi,34000,2.0,2.0,1100
1 BHK House for Rent in Hennur Gardens Bangalore,Hennur Gardens,9000,1.0,1.0,600
2 BHK House for Rent in Banaswadi Bangalore,Banaswadi,23000,2.0,2.0,1050
"2 BHK Flat for Rent in Singanayakanahalli, Bangalore",Singanayakanahalli,12000,4.0,2.0,800
2 BHK House for Rent in Horamavu Bangalore,Horamavu,22000,5.0,2.0,850
2 BHK House for Rent in Naagarabhaavi Bangalore,Naagarabhaavi,17000,2.0,2.0,1000
4 BHK House for Rent in Geddalahalli Bangalore,Geddalahalli,60000,2.0,4.0,2000
"2 BHK Flat for Rent in Kumaraswamy Layout, Kumaraswamy Layout, Bangalore","Kumaraswamy Layout, Kumaraswamy Layout",15000,4.0,2.0,800
2 BHK House for Rent in Cox Town Bangalore,Cox Town,70000,3.0,2.0,1030
1 BHK House for Rent in Kammanahalli Bangalore,Kammanahalli,14000,1.0,1.0,350
"2 BHK Flat for Rent in Junnasandra, Bangalore",Junnasandra,25000,2.0,2.0,1000
2 BHK House for Rent in Krishnarajapura Bangalore,Krishnarajapura,15000,3.0,2.0,800
1 BHK House for Rent in Nagavara Bangalore,Nagavara,6500,1.0,1.0,500
1 BHK House for Rent in Bommanahalli Bangalore,Bommanahalli,8000,1.0,1.0,800
2 BHK House for Rent in Anchepalya Bangalore,Anchepalya,8000,1.0,2.0,600
1 BHK House for Rent in Jalahalli East Bangalore,Jalahalli East,9000,1.0,1.0,600
3 BHK Villa for Rent in Huskur Bangalore,Huskur,100000,5.0,3.0,3700
4 BHK Flat for Rent in Bangalore,,130000,6.0,4.0,1830
"2 BHK Flat for Rent in KINGSTON LIFESTYLE, Kasavanahalli, Bangalore","KINGSTON LIFESTYLE, Kasavanahalli",33000,2.0,2.0,1080
4 BHK Villa for Rent in Attibele Bangalore,Attibele,60000,4.0,4.0,2200
1 BHK House for Rent in Stage 1 BTM Layout Bangalore,Stage 1 BTM Layout,12000,3.0,1.0,500
"2 BHK Flat for Rent in Stage 1 BTM Layout, Bangalore",Stage 1 BTM Layout,20000,3.0,2.0,900
4 BHK Villa for Rent in Nimbekaipura Bangalore,Nimbekaipura,32500,4.0,4.0,3150
3 BHK Flat for Rent in Bangalore,,60000,1.0,3.0,2400
3 BHK House for Rent in Bangalore,,80000,3.0,3.0,2800
"3 BHK Flat for Rent in Whitefield, Bangalore",Whitefield,70000,5.0,3.0,1900
"3 BHK Flat for Rent in Doddabommasandra, Bangalore",Doddabommasandra,85000,5.0,3.0,2200
4 BHK Villa for Rent in Mailasandra Bangalore,Mailasandra,100000,4.0,4.0,3500
5 BHK Villa for Rent in Krishnarajapura Bangalore,Krishnarajapura,150000,6.0,5.0,2600
3 BHK House for Rent in Harlur Bangalore,Harlur,64000,3.0,3.0,1980
1 BHK House for Rent in Kurudusonnenahalli Bangalore,Kurudusonnenahalli,13000,1.0,1.0,600
2 BHK House for Rent in Btm Layout Bangalore,Btm Layout,12000,2.0,2.0,800
1 BHK House for Rent in Gangondanahalli Bangalore,Gangondanahalli,5000,1.0,1.0,500
"2 BHK Flat for Rent in Old Gurappanapalya, BTM layout, Bannerghatta main Road, Bangalore","Old Gurappanapalya, BTM layout, Bannerghatta main Road",13000,4.0,2.0,600
"1 BHK Flat for Rent in CV Raman Nagar, Bangalore",CV Raman Nagar,9500,4.0,1.0,500
1 BHK House for Rent in Kasturi Nagar Bangalore,Kasturi Nagar,11000,4.0,1.0,550
"3 BHK Flat for Rent in Janapriya Greenwood, Chikkabanavara, Bangalore","Janapriya Greenwood, Chikkabanavara",9000,3.0,3.0,1300
"1 BHK House for Rent in Kundalahalli, Brookefield Bangalore","Kundalahalli, Brookefield",5000,1.0,1.0,300
"2 BHK Flat for Rent in Kanakapura Road, Bangalore",Kanakapura Road,12000,2.0,2.0,1200
4 BHK Villa for Rent in Bidaraguppe Bangalore,Bidaraguppe,120000,4.0,4.0,3000
3 BHK House for Rent in Lal Bagh Main Road Bangalore,Lal Bagh Main Road,25000,2.0,3.0,800
"2 BHK Flat for Rent in MCR Gangothri Elegance, Bannerghatta Main Road, Bangalore","MCR Gangothri Elegance, Bannerghatta Main Road",15000,5.0,2.0,1020
"1 BHK Flat for Rent in Garvebhavi Palya, Bangalore",Garvebhavi Palya,9500,5.0,1.0,550
2 BHK House for Rent in Bommanahalli Bangalore,Bommanahalli,9500,1.0,2.0,600
2 BHK House for Rent in T Dasarahalli Bangalore,T Dasarahalli,8500,2.0,2.0,900
2 BHK House for Rent in Vignan Nagar Bangalore,Vignan Nagar,16000,3.0,2.0,900
"3 BHK Flat for Rent in Whitefield, Bangalore",Whitefield,38000,5.0,3.0,1600
2 BHK Flat for Rent in Bangalore,,13000,3.0,2.0,750
2 BHK House for Rent in Krishnarajapura Bangalore,Krishnarajapura,90000,2.0,2.0,600
1 BHK House for Rent in Stage 6th Banashankari Bangalore,Stage 6th Banashankari,10000,4.0,1.0,400
4 BHK House for Rent in Nagarabhavi Main Road Bangalore,Nagarabhavi Main Road,80000,3.0,4.0,2000
"3 BHK Flat for Rent in Yelahanka, Bangalore",Yelahanka,130000,5.0,3.0,2750
"2 BHK Flat for Rent in Richards Town, Richards Town, Bangalore","Richards Town, Richards Town",70000,5.0,2.0,1400
2 BHK House for Rent in RR Nagar Bangalore,RR Nagar,8500,2.0,2.0,650
2 BHK House for Rent in Bannerghatta Main Road Bangalore,Bannerghatta Main Road,11000,2.0,2.0,1000
"3 BHK Flat for Rent in Arekere, Bangalore",Arekere,28000,4.0,3.0,1300
1 BHK House for Rent in CK Palya Bangalore,CK Palya,6000,4.0,1.0,300
1 BHK House for Rent in Varanasi Bangalore,Varanasi,9000,2.0,1.0,300
3 BHK Villa for Rent in Vidyaranyapura Bangalore,Vidyaranyapura,60000,4.0,3.0,2500
2 BHK House for Rent in Kasavanahalli Bangalore,Kasavanahalli,13000,1.0,2.0,800
"2 BHK Flat for Rent in Magadi Main Road, Bangalore",Magadi Main Road,20000,2.0,2.0,885
2 BHK House for Rent in Koramangala 8Th Block Bangalore,Koramangala 8Th Block,20000,2.0,2.0,1200
2 BHK House for Rent in Hennur Gardens Bangalore,Hennur Gardens,80000,4.0,2.0,1200
1 BHK House for Rent in Shamarajpura Bangalore,Shamarajpura,6000,3.0,1.0,400
1 BHK House for Rent in Kothanur Bangalore,Kothanur,3500,3.0,1.0,120
"2 BHK Flat for Rent in Btm Layout, Bangalore",Btm Layout,14000,4.0,2.0,900
"2 BHK House for Rent in Kempegowda Nagar, Kempegowda Nagar Bangalore","Kempegowda Nagar, Kempegowda Nagar",18000,3.0,2.0,800
1 BHK House for Rent in Thotada Guddadhalli Village Bangalore,Thotada Guddadhalli Village,4000,4.0,1.0,400
2 BHK House for Rent in Abbigere Bangalore,Abbigere,9000,2.0,2.0,900
"1 BHK Flat for Rent in Annapurneshwari Nagar, Bangalore",Annapurneshwari Nagar,5500,3.0,1.0,250
"2 BHK Flat for Rent in Marathahalli, Bangalore",Marathahalli,28000,4.0,2.0,1400
3 BHK Villa for Rent in Whitefield Bangalore,Whitefield,130000,3.0,3.0,3500
"1 BHK Flat for Rent in Block 3rd Koramangala, Bangalore",Block 3rd Koramangala,15000,5.0,1.0,350
4 BHK Villa for Rent in Kothanur Bangalore,Kothanur,170000,4.0,4.0,4400
3 BHK House for Rent in Haralur Bangalore,Haralur,60000,5.0,3.0,2100
2 BHK House for Rent in Sector 1st HSR Layout Bangalore,Sector 1st HSR Layout,65000,2.0,2.0,2250
"3 BHK Flat for Rent in Mahadevapura, Bangalore",Mahadevapura,75000,2.0,3.0,1690
2 BHK House for Rent in Kengeri Satellite Town Bangalore,Kengeri Satellite Town,18000,3.0,2.0,1200
4 BHK House for Rent in Nimbekaipura Bangalore,Nimbekaipura,60000,2.0,4.0,3200
1 BHK House for Rent in Phase 8th JP Nagar Bangalore,Phase 8th JP Nagar,7000,1.0,1.0,380
"3 BHK Flat for Rent in Doddanekundi, Kartik Nagar, Bangalore","Doddanekundi, Kartik Nagar",60000,5.0,3.0,1700
"3 BHK Flat for Rent in Bhoganhalli, Bangalore",Bhoganhalli,80000,3.0,3.0,1933
"3 BHK Flat for Rent in Halanayakanahalli, Bangalore",Halanayakanahalli,60000,5.0,3.0,1335
4 BHK House for Rent in Mahadevapura Bangalore,Mahadevapura,110000,2.0,4.0,2500
5 BHK Villa for Rent in Whitefield Bangalore,Whitefield,90000,5.0,5.0,3600
2 BHK House for Rent in Abbigere Bangalore,Abbigere,9000,2.0,2.0,600
"3 BHK Flat for Rent in RK Hegde Nagar, Bangalore",RK Hegde Nagar,25000,3.0,3.0,1483
5 BHK House for Rent in Electronic City Bangalore,Electronic City,150000,2.0,5.0,5000
1 BHK House for Rent in Yelahanka Bangalore,Yelahanka,9500,1.0,1.0,400
2 BHK House for Rent in Basaveshwara Layout Bangalore,Basaveshwara Layout,12000,3.0,2.0,500
1 BHK House for Rent in Banashankari Bangalore,Banashankari,7000,3.0,1.0,410
2 BHK House for Rent in Thotada Guddadhalli Village Bangalore,Thotada Guddadhalli Village,20000,3.0,2.0,1500
"1 BHK Flat for Rent in Jalahalli West, Bangalore",Jalahalli West,6000,3.0,1.0,400
"2 BHK Flat for Rent in Thubarahalli, Whitefield, Bangalore","Thubarahalli, Whitefield",30000,4.0,2.0,1200
3 BHK Villa for Rent in Ramamurthy Nagar Bangalore,Ramamurthy Nagar,25000,3.0,3.0,1000
1 BHK House for Rent in Indiranagar Bangalore,Indiranagar,20000,1.0,1.0,800
1 BHK House for Rent in Bidarahalli Bangalore,Bidarahalli,6500,4.0,1.0,400
"1 BHK Flat for Rent in Basavanagara, Bangalore",Basavanagara,9500,3.0,1.0,475
3 BHK Flat for Rent in Bangalore,,50000,3.0,3.0,1650
2 BHK House for Rent in Krishnarajapura Bangalore,Krishnarajapura,9000,1.0,2.0,900
"3 BHK House for Rent in Kuvempu Layout, Bangalore Bangalore",Kuvempu Layout,70000,2.0,3.0,2000
"3 BHK Flat for Rent in Banashankari, Bangalore",Banashankari,75000,4.0,3.0,2100
"2 BHK Flat for Rent in Gattahalli, Electronic City, Bangalore","Gattahalli, Electronic City",14000,5.0,2.0,970
2 BHK House for Rent in Nagavara Bangalore,Nagavara,10000,2.0,2.0,1000
2 BHK House for Rent in J P Nagar Bangalore,J P Nagar,19000,2.0,2.0,900
"1 BHK Flat for Rent in Horamavu, Bangalore",Horamavu,30000,1.0,1.0,1000
"2 BHK Flat for Rent in Kalyan Nagar, Bangalore",Kalyan Nagar,25000,4.0,2.0,765
"3 BHK Flat for Rent in Basapura, Bangalore",Basapura,19500,3.0,3.0,1400
"3 BHK Flat for Rent in Prasanth Extension, Whitefield, Bangalore","Prasanth Extension, Whitefield",28000,5.0,3.0,1400
"1 BHK House for Rent in Mavalli, Bangalore",Mavalli,7000,2.0,1.0,360
"1 BHK Flat for Rent in Phase 7 JP Nagar, Bangalore",Phase 7 JP Nagar,4000,2.0,1.0,300
4 BHK House for Rent in Hbr Layout Bangalore,Hbr Layout,120000,4.0,4.0,3119
"3 BHK Flat for Rent in Phase 9th JP Nagar, Bangalore",Phase 9th JP Nagar,60000,4.0,3.0,1473
2 BHK House for Rent in Gowdanapalya Bangalore,Gowdanapalya,10000,1.0,2.0,400
"3 BHK House for Rent in Kundalahalli, Brookefield Bangalore","Kundalahalli, Brookefield",25000,3.0,3.0,1200
"2 BHK Flat for Rent in Hampi Nagar, Bangalore",Hampi Nagar,10000,2.0,2.0,340
1 BHK House for Rent in Yarandahalli Bangalore,Yarandahalli,6500,4.0,1.0,500
"2 BHK Flat for Rent in MJ Lifestyle Astyllen, Sarjapur Road, Bangalore","MJ Lifestyle Astyllen, Sarjapur Road",18000,4.0,2.0,1278
2 BHK House for Rent in Chinnapanna Halli Bangalore,Chinnapanna Halli,18000,2.0,2.0,750
1 BHK House for Rent in RK Hegde Nagar Bangalore,RK Hegde Nagar,17000,1.0,1.0,550
"2 BHK Flat for Rent in Hoodi, Hoodi, Bangalore","Hoodi, Hoodi",40000,4.0,2.0,1400
1 BHK House for Rent in Hsr Layout Bangalore,Hsr Layout,18000,3.0,1.0,300
"1 BHK Flat for Rent in Yelahanka, Bangalore",Yelahanka,7500,4.0,1.0,500
"2 BHK Flat for Rent in Vidyaranyapura, Bangalore",Vidyaranyapura,30000,5.0,2.0,1050
2 BHK House for Rent in Hsr Layout Bangalore,Hsr Layout,35000,3.0,2.0,1100
2 BHK House for Rent in Wilson Garden Bangalore,Wilson Garden,14000,3.0,2.0,600
4 BHK House for Rent in Yamare Village Bangalore,Yamare Village,90000,3.0,4.0,1728
"3 BHK Flat for Rent in Kasturi Nagar, Bangalore",Kasturi Nagar,70000,5.0,3.0,1650
"2 BHK Flat for Rent in Gem Regency, Koramangala, Bangalore","Gem Regency, Koramangala",55000,4.0,2.0,1100
"3 BHK Flat for Rent in Prestige Lakeside Habitat, Whitefield, Bangalore","Prestige Lakeside Habitat, Whitefield",80000,4.0,3.0,1655
"3 BHK Flat for Rent in Kasturi Nagar, Bangalore",Kasturi Nagar,60000,3.0,3.0,1796
"2 BHK Flat for Rent in Patel Layout Vishwapriya Nagar, Bangalore",Patel Layout Vishwapriya Nagar,21000,2.0,2.0,1100
"3 BHK Flat for Rent in Mantri Elite, Bannerghatta Main Road, Bangalore","Mantri Elite, Bannerghatta Main Road",65000,3.0,3.0,1915
"3 BHK Flat for Rent in Indiranagar, Bangalore",Indiranagar,90000,3.0,3.0,2800
"3 BHK Flat for Rent in Veracious Lansdale, Whitefield, Bangalore","Veracious Lansdale, Whitefield",75000,3.0,3.0,1720
"3 BHK Flat for Rent in Assetz 63 Degree East, Sarjapur Road, Bangalore","Assetz 63 Degree East, Sarjapur Road",45000,2.0,3.0,1400
"2 BHK Flat for Rent in Bannerghatta Main Road, Bangalore",Bannerghatta Main Road,25000,2.0,2.0,1000
"2 BHK Flat for Rent in Varthur, Bangalore",Varthur,45000,2.0,2.0,855
"3 BHK House for Rent in Victoria Layout, Victoria Layout, Victoria Road Bangalore","Victoria Layout, Victoria Layout, Victoria Road",80000,3.0,3.0,1600
"3 BHK Flat for Rent in Stage 3 Indiranagar, Bangalore",Stage 3 Indiranagar,50000,5.0,3.0,1900
"3 BHK Flat for Rent in G Corp Residences, Koramangala, Bangalore","G Corp Residences, Koramangala",140000,2.0,3.0,1300
"4 BHK Flat for Rent in Gopalan Habitat Splendour, Kundalahalli, Brookefield, Bangalore","Gopalan Habitat Splendour, Kundalahalli, Brookefield",75000,3.0,4.0,2200
"3 BHK Flat for Rent in Elegant Springdale, Cleveland Town, Frazer Town, Bangalore","Elegant Springdale, Cleveland Town, Frazer Town",60000,2.0,3.0,1400
"3 BHK Flat for Rent in Hoysala Land Mark, Sanjayanagara, Bangalore","Hoysala Land Mark, Sanjayanagara",68000,3.0,3.0,1650
"4 BHK Flat for Rent in Advaitha Aksha, Koramangala, Bangalore","Advaitha Aksha, Koramangala",120000,4.0,4.0,2400
"1 BHK Flat for Rent in House Of Hiranandani Bannerghatta, Bannerughatta, Bangalore","House Of Hiranandani Bannerghatta, Bannerughatta",30000,1.0,1.0,415
"3 BHK Flat for Rent in Sobha Royal Pavilion, Sarjapur Road, Bangalore","Sobha Royal Pavilion, Sarjapur Road",68000,3.0,3.0,1800
"2 BHK Flat for Rent in Kodihalli, Bangalore",Kodihalli,35000,2.0,2.0,950
"3 BHK Flat for Rent in L&T Raintree Boulevard, Hebbal, Bangalore","L&T Raintree Boulevard, Hebbal",100000,3.0,3.0,1389
"2 BHK Flat for Rent in Hsr Layout, Bangalore",Hsr Layout,45000,2.0,2.0,1315
"3 BHK Flat for Rent in Richmond Town, Richmond Town, Bangalore","Richmond Town, Richmond Town",150000,3.0,3.0,2100
3 BHK Villa for Rent in Nagawara Bangalore,Nagawara,170000,3.0,3.0,2500
"2 BHK Flat for Rent in Vaishnavi Nakshatra, Yeswanthpur, Bangalore","Vaishnavi Nakshatra, Yeswanthpur",42000,2.0,2.0,980
"2 BHK Flat for Rent in Vignan Nagar, Bangalore",Vignan Nagar,20000,2.0,2.0,1050
"3 BHK Flat for Rent in DC Capitol, Panathur, Bangalore","DC Capitol, Panathur",70000,2.0,3.0,1300
"2 BHK Flat for Rent in Axis Oliria, Bilekahalli, Bangalore","Axis Oliria, Bilekahalli",35000,2.0,2.0,1150
"2 BHK Flat for Rent in J P Nagar, Bangalore",J P Nagar,30000,2.0,2.0,1250
2 BHK Villa for Rent in Sector 5th HSR Layout Bangalore,Sector 5th HSR Layout,65000,2.0,2.0,2500
"4 BHK Flat for Rent in Sector A Byatarayanapura, Bangalore",Sector A Byatarayanapura,150000,4.0,4.0,1800
5 BHK Villa for Rent in Electronic City Bangalore,Electronic City,100000,5.0,5.0,3800
"2 BHK Flat for Rent in Nandi Woods, Tejaswini Nagar, Bangalore","Nandi Woods, Tejaswini Nagar",30000,2.0,2.0,1130
2 BHK House for Rent in Sunshine Layout Bangalore,Sunshine Layout,25000,2.0,2.0,1100
"3 BHK Flat for Rent in Provident Welworth City, Marasandra Amanikere, Bangalore","Provident Welworth City, Marasandra Amanikere",20000,2.0,3.0,800
